11:45:53 - CPU: 3.4% | Memory: 3.1% (1.6 GB)
11:45:54 - CPU: 1.1% | Memory: 3.1% (1.6 GB)
11:45:55 - CPU: 1.6% | Memory: 3.1% (1.6 GB)
11:45:56 - CPU: 4.4% | Memory: 3.0% (1.5 GB)
11:45:57 - CPU: 1.6% | Memory: 3.0% (1.5 GB)
11:45:58 - CPU: 3.5% | Memory: 3.0% (1.5 GB)
11:45:59 - CPU: 4.1% | Memory: 3.0% (1.5 GB)
11:46:00 - CPU: 5.6% | Memory: 3.1% (1.6 GB)
11:46:01 - CPU: 5.9% | Memory: 3.1% (1.5 GB)
11:46:02 - CPU: 5.2% | Memory: 3.0% (1.5 GB)
11:46:03 - CPU: 6.7% | Memory: 3.1% (1.6 GB)
11:46:04 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:46:05 - CPU: 6.1% | Memory: 3.1% (1.6 GB)
11:46:06 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:46:07 - CPU: 5.9% | Memory: 3.1% (1.6 GB)
11:46:08 - CPU: 6.1% | Memory: 3.1% (1.6 GB)
11:46:09 - CPU: 5.6% | Memory: 3.1% (1.6 GB)
11:46:10 - CPU: 5.6% | Memory: 3.1% (1.6 GB)
11:46:11 - CPU: 3.4% | Memory: 3.1% (1.6 GB)
11:46:12 - CPU: 5.4% | Memory: 3.1% (1.6 GB)
11:46:13 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:46:14 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:46:15 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:46:16 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:46:17 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:46:18 - CPU: 6.2% | Memory: 3.2% (1.6 GB)
11:46:19 - CPU: 6.4% | Memory: 3.2% (1.6 GB)
11:46:20 - CPU: 6.3% | Memory: 3.2% (1.6 GB)
11:46:21 - CPU: 6.2% | Memory: 3.2% (1.6 GB)
11:46:22 - CPU: 6.2% | Memory: 3.2% (1.6 GB)
11:46:24 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:46:25 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:46:26 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:46:27 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:46:28 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:46:29 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:46:30 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:46:31 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:46:33 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:46:34 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:46:35 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:46:36 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:46:37 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:46:38 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:46:39 - CPU: 6.0% | Memory: 3.2% (1.7 GB)
11:46:40 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:46:41 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:46:42 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:46:44 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:46:45 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:46:46 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:46:47 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:46:48 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:46:49 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:46:50 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:46:52 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:46:53 - CPU: 6.3% | Memory: 3.2% (1.6 GB)
11:46:54 - CPU: 6.2% | Memory: 3.2% (1.6 GB)
11:46:55 - CPU: 6.4% | Memory: 3.2% (1.6 GB)
11:46:56 - CPU: 6.2% | Memory: 3.2% (1.6 GB)
11:46:57 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:46:58 - CPU: 6.8% | Memory: 3.2% (1.6 GB)
11:46:59 - CPU: 12.5% | Memory: 3.2% (1.7 GB)
11:47:00 - CPU: 6.9% | Memory: 3.2% (1.7 GB)
11:47:01 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:47:02 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:47:04 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:47:05 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:47:06 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:47:07 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:47:08 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:47:09 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:47:10 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:47:11 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:47:12 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:47:14 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:47:15 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:47:16 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:47:17 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:47:18 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:47:19 - CPU: 6.0% | Memory: 3.1% (1.6 GB)
11:47:20 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:47:21 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:47:22 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:47:23 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:47:24 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:47:26 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:47:27 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:47:28 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:47:29 - CPU: 6.1% | Memory: 3.1% (1.6 GB)
11:47:30 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:47:31 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:47:32 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:47:33 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:47:35 - CPU: 6.1% | Memory: 3.1% (1.6 GB)
11:47:36 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
