11:49:03 - CPU: 4.4% | Memory: 3.1% (1.6 GB)
11:49:04 - CPU: 5.0% | Memory: 3.1% (1.6 GB)
11:49:05 - CPU: 2.0% | Memory: 3.1% (1.5 GB)
11:49:06 - CPU: 4.9% | Memory: 3.0% (1.5 GB)
11:49:07 - CPU: 4.2% | Memory: 3.0% (1.5 GB)
11:49:08 - CPU: 5.9% | Memory: 3.1% (1.6 GB)
11:49:09 - CPU: 5.6% | Memory: 3.1% (1.6 GB)
11:49:10 - CPU: 4.9% | Memory: 3.1% (1.6 GB)
11:49:11 - CPU: 34.0% | Memory: 3.2% (1.6 GB)
11:49:12 - CPU: 14.8% | Memory: 3.2% (1.7 GB)
11:49:13 - CPU: 5.7% | Memory: 3.2% (1.7 GB)
11:49:14 - CPU: 29.4% | Memory: 3.2% (1.7 GB)
11:49:15 - CPU: 6.3% | Memory: 3.3% (1.7 GB)
11:49:16 - CPU: 6.3% | Memory: 3.3% (1.7 GB)
11:49:17 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:49:18 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:49:19 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:49:20 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:49:21 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:49:22 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:49:23 - CPU: 6.4% | Memory: 3.2% (1.6 GB)
11:49:24 - CPU: 6.2% | Memory: 3.2% (1.6 GB)
11:49:25 - CPU: 6.3% | Memory: 3.2% (1.6 GB)
11:49:26 - CPU: 6.4% | Memory: 3.2% (1.6 GB)
11:49:27 - CPU: 6.3% | Memory: 3.2% (1.6 GB)
11:49:28 - CPU: 6.2% | Memory: 3.2% (1.6 GB)
11:49:29 - CPU: 6.4% | Memory: 3.2% (1.6 GB)
11:49:30 - CPU: 6.2% | Memory: 3.2% (1.6 GB)
11:49:32 - CPU: 9.3% | Memory: 3.1% (1.6 GB)
11:49:33 - CPU: 26.4% | Memory: 3.3% (1.7 GB)
11:49:34 - CPU: 6.4% | Memory: 3.3% (1.7 GB)
11:49:35 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:49:36 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:49:37 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:49:38 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:49:39 - CPU: 6.2% | Memory: 3.2% (1.7 GB)
11:49:40 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:49:41 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:49:43 - CPU: 6.3% | Memory: 3.2% (1.6 GB)
11:49:44 - CPU: 6.3% | Memory: 3.2% (1.6 GB)
11:49:45 - CPU: 6.4% | Memory: 3.2% (1.6 GB)
11:49:46 - CPU: 6.2% | Memory: 3.2% (1.6 GB)
11:49:47 - CPU: 6.3% | Memory: 3.2% (1.6 GB)
11:49:48 - CPU: 6.4% | Memory: 3.2% (1.6 GB)
11:49:49 - CPU: 6.3% | Memory: 3.2% (1.6 GB)
11:49:50 - CPU: 6.3% | Memory: 3.2% (1.6 GB)
11:49:51 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:49:52 - CPU: 11.2% | Memory: 3.4% (1.9 GB)
11:49:53 - CPU: 41.6% | Memory: 3.7% (2.1 GB)
11:49:54 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:49:55 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:49:56 - CPU: 50.0% | Memory: 3.7% (2.1 GB)
11:49:57 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:49:58 - CPU: 50.0% | Memory: 3.7% (2.1 GB)
11:50:00 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
