11:40:38 - CPU: 3.5% | Memory: 3.1% (1.6 GB)
11:40:39 - CPU: 1.0% | Memory: 3.1% (1.6 GB)
11:40:40 - CPU: 1.7% | Memory: 3.1% (1.6 GB)
11:40:41 - CPU: 4.3% | Memory: 3.1% (1.6 GB)
11:40:42 - CPU: 2.6% | Memory: 3.0% (1.5 GB)
11:40:43 - CPU: 4.4% | Memory: 3.0% (1.5 GB)
11:40:44 - CPU: 1.0% | Memory: 3.0% (1.5 GB)
11:40:45 - CPU: 3.9% | Memory: 3.1% (1.6 GB)
11:40:46 - CPU: 6.0% | Memory: 3.1% (1.6 GB)
11:40:47 - CPU: 5.7% | Memory: 3.0% (1.5 GB)
11:40:48 - CPU: 8.6% | Memory: 3.1% (1.6 GB)
11:40:49 - CPU: 35.4% | Memory: 3.2% (1.7 GB)
11:40:50 - CPU: 10.8% | Memory: 3.2% (1.7 GB)
11:40:51 - CPU: 4.9% | Memory: 3.2% (1.7 GB)
11:40:52 - CPU: 29.7% | Memory: 3.2% (1.7 GB)
11:40:53 - CPU: 6.3% | Memory: 3.3% (1.7 GB)
11:40:54 - CPU: 6.3% | Memory: 3.3% (1.7 GB)
11:40:55 - CPU: 6.4% | Memory: 3.3% (1.7 GB)
11:40:56 - CPU: 6.2% | Memory: 3.3% (1.7 GB)
11:40:57 - CPU: 6.2% | Memory: 3.2% (1.7 GB)
11:40:58 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:40:59 - CPU: 6.2% | Memory: 3.2% (1.7 GB)
11:41:00 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:41:01 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:41:02 - CPU: 6.2% | Memory: 3.2% (1.6 GB)
11:41:03 - CPU: 6.3% | Memory: 3.2% (1.6 GB)
11:41:04 - CPU: 6.3% | Memory: 3.2% (1.6 GB)
11:41:05 - CPU: 6.2% | Memory: 3.2% (1.6 GB)
11:41:06 - CPU: 6.3% | Memory: 3.2% (1.6 GB)
11:41:07 - CPU: 6.3% | Memory: 3.2% (1.6 GB)
11:41:08 - CPU: 6.4% | Memory: 3.1% (1.6 GB)
11:41:09 - CPU: 6.3% | Memory: 3.1% (1.6 GB)
11:41:10 - CPU: 6.6% | Memory: 3.1% (1.6 GB)
11:41:11 - CPU: 31.2% | Memory: 3.2% (1.7 GB)
11:41:12 - CPU: 6.4% | Memory: 3.3% (1.7 GB)
11:41:13 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:41:14 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:41:15 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:41:16 - CPU: 6.2% | Memory: 3.2% (1.7 GB)
11:41:17 - CPU: 6.2% | Memory: 3.2% (1.7 GB)
11:41:18 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:41:19 - CPU: 6.4% | Memory: 3.2% (1.7 GB)
11:41:20 - CPU: 6.2% | Memory: 3.2% (1.7 GB)
11:41:21 - CPU: 6.3% | Memory: 3.2% (1.7 GB)
11:41:23 - CPU: 6.4% | Memory: 3.2% (1.6 GB)
11:41:24 - CPU: 6.4% | Memory: 3.2% (1.6 GB)
11:41:25 - CPU: 6.3% | Memory: 3.2% (1.6 GB)
11:41:26 - CPU: 6.4% | Memory: 3.2% (1.6 GB)
11:41:27 - CPU: 6.3% | Memory: 3.2% (1.6 GB)
11:41:28 - CPU: 6.3% | Memory: 3.2% (1.6 GB)
11:41:29 - CPU: 6.2% | Memory: 3.1% (1.6 GB)
11:41:30 - CPU: 12.5% | Memory: 3.4% (1.9 GB)
11:41:32 - CPU: 44.4% | Memory: 3.7% (2.1 GB)
11:41:33 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:41:34 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:41:35 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:41:36 - CPU: 50.0% | Memory: 3.7% (2.1 GB)
11:41:37 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:41:38 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:41:39 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:41:40 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:41:41 - CPU: 49.9% | Memory: 3.7% (2.1 GB)
11:41:42 - CPU: 50.1% | Memory: 3.6% (2.0 GB)
11:41:43 - CPU: 50.1% | Memory: 3.6% (2.0 GB)
11:41:44 - CPU: 50.2% | Memory: 3.7% (2.1 GB)
11:41:45 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
11:41:47 - CPU: 48.4% | Memory: 3.6% (2.0 GB)
11:41:48 - CPU: 50.1% | Memory: 3.7% (2.1 GB)
